owner;repo;yaml_filename;job;all_unused;maven_unused;fix_suggestion;old_commands
apache;zeppelin;frontend.yml;run-e2e-tests-in-zeppelin-web;107;107;;./mvnw clean install -DskipTests -am -pl zeppelin-web -Pweb-classic -Pspark-scala-2.12 -Pspark-3.4 -Pweb-dist ${MAVEN_ARGS
apache;incubator-seata;test-ubuntu.yml;test (8, ubuntu, 2.5.15         -D spring-framework.version=5.3.27);1;1;./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
jboss-javassist;javassist;maven.yml;build (ubuntu-latest, 11.0.3);4;4;mvn -B package --file pom.xml -Dmaven.test.skip=true;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, sharding_encrypt_shadow, );0;0;mvn -B package --file pom.xml -Dmaven.test.skip=true;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, readwrite_splitting, );0;0;mvn -B package --file pom.xml -Dmaven.test.skip=true;mvn -B package --file pom.xm
rest-assured;rest-assured;ci.yml;test (ubuntu-latest, 8);10;10;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
alibaba;nacos;pr-ci.yml;dist-tar;0;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
linlinjava;litemall;main.yml;Litemall-all (11);0;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, empty_storage_units, );0;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
linlinjava;litemall;main.yml;Litemall-admin (10.x);1;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, readwrite_splitting, );0;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, tbl, );0;0;mvn verify -B -Dmaven.test.skip=true ;mvn verify -
apache;zeppelin;frontend.yml;run-tests-in-zeppelin-web-angular;138;138;"xvfb-run --auto-servernum --server-args=""-screen 0 1024x768x24"" ./mvnw package -pl zeppelin-web-angular ${MAVEN_ARGS} -Dnpm.skip.test=true";"xvfb-run --auto-servernum --server-args=""-screen 0 1024x768x24"" ./mvnw package -pl zeppelin-web-angular ${MAVEN_ARGS"
apache;shenyu;integrated-test.yml;build (shenyu-integrated-test-combination);1;1;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
